date,region,product,revenue,units_sold,sales_rep
2024-01-07,Latin America,Monitor,10976.64,32,Fiona
2024-01-11,Europe,Headphones,6237.79,61,Alice
2024-01-16,Europe,Smartphone,6218.4,10,Diana
2024-01-20,North America,Headphones,13275.59,116,Fiona
2024-01-26,Europe,Laptop,96921.19,121,Hannah
2024-01-30,North America,Smartphone,13576.34,22,Diana
2024-02-01,Europe,Monitor,40820.84,104,Alice
2024-02-02,Latin America,Monitor,31548.2,89,George
2024-02-05,Europe,Tablet,27637.58,77,Ethan
2024-02-07,North America,Monitor,65983.39,164,Bob
2024-02-07,Europe,Headphones,7687.33,72,Fiona
2024-02-12,Latin America,Smartphone,66753.48,123,Ethan
2024-02-13,Latin America,Laptop,180857.3,199,Charlie
2024-02-13,Europe,Keyboard,8690.12,109,Diana
2024-02-17,Europe,Smartphone,65118.28,109,Diana
2024-02-17,Latin America,Tablet,5446.81,16,Charlie
2024-02-17,Europe,Keyboard,6164.88,84,Diana
2024-02-22,North America,Monitor,9720.59,29,Fiona
2024-02-22,Asia Pacific,Keyboard,13798.56,158,Alice
2024-02-24,Latin America,Smartphone,32736.99,50,Hannah
2024-02-27,Asia Pacific,Monitor,15531.34,45,Ethan
2024-02-29,Asia Pacific,Smartphone,104538.2,153,Ethan
2024-03-05,Latin America,Keyboard,2772.2,34,Diana
2024-03-06,Latin America,Headphones,5242.48,47,George
2024-03-06,North America,Tablet,43892.02,98,Alice
2024-03-09,Asia Pacific,Laptop,30894.48,32,Charlie
2024-03-11,Europe,Smartphone,65395.83,103,Diana
2024-03-12,North America,Keyboard,17345.99,194,Bob
2024-03-12,Europe,Keyboard,11978.45,148,George
2024-03-16,North America,Laptop,69054.4,67,Bob
2024-03-19,Europe,Keyboard,9301.46,113,George
2024-03-20,Europe,Tablet,27374.71,60,Alice
2024-03-22,Latin America,Tablet,27257.97,76,Fiona
2024-03-24,Latin America,Monitor,29703.6,74,Diana
2024-03-24,Europe,Monitor,3479.66,11,Fiona
2024-03-24,Asia Pacific,Laptop,118105.78,153,Ethan
2024-03-27,North America,Tablet,57074.09,136,Fiona
2024-04-03,Asia Pacific,Monitor,26473.83,68,Bob
2024-04-03,Latin America,Smartphone,62092.93,95,Fiona
2024-04-18,Latin America,Monitor,58419.83,169,Ethan
2024-04-18,Europe,Keyboard,6516.37,84,Fiona
2024-04-22,Latin America,Headphones,9966.6,76,Alice
2024-04-27,North America,Laptop,69787.7,89,Diana
2024-04-30,Asia Pacific,Tablet,38456.04,86,Bob
2024-05-04,Latin America,Monitor,16292.42,53,George
2024-05-07,Europe,Smartphone,83886.56,142,George
2024-05-12,Europe,Keyboard,6478.46,75,Hannah
2024-05-13,Europe,Keyboard,14201.6,188,Ethan
2024-05-15,Latin America,Tablet,47865.78,113,Hannah
2024-05-19,Asia Pacific,Headphones,7414.37,58,Diana
2024-05-22,Latin America,Smartphone,76335.71,143,Hannah
2024-05-22,Latin America,Tablet,9910.92,25,Alice
2024-05-23,Asia Pacific,Headphones,844.19,7,Diana
2024-05-28,North America,Smartphone,17352.68,30,Hannah
2024-06-06,Europe,Laptop,66136.13,66,Bob
2024-06-09,North America,Laptop,137634.87,154,Charlie
2024-06-14,Europe,Laptop,76231.07,76,Diana
2024-06-16,Latin America,Keyboard,6504.47,80,Diana
2024-06-21,Latin America,Keyboard,4144.09,47,Charlie
2024-06-26,Latin America,Keyboard,6895.84,99,Fiona
2024-06-28,Asia Pacific,Smartphone,31884.1,62,Diana
2024-06-28,Latin America,Keyboard,10784.56,142,Alice
2024-06-28,Europe,Keyboard,1908.49,22,Alice
2024-06-30,Latin America,Monitor,48137.15,124,Alice
2024-07-02,Europe,Keyboard,5712.44,68,Fiona
2024-07-05,Latin America,Laptop,177381.42,175,Fiona
2024-07-12,North America,Headphones,10548.69,80,Fiona
2024-07-13,Asia Pacific,Smartphone,68828.7,121,George
2024-07-14,Latin America,Headphones,9450.16,69,Alice
2024-07-14,North America,Monitor,19425.76,61,Hannah
2024-07-18,Latin America,Headphones,25175.58,196,Diana
2024-07-21,Europe,Keyboard,12783.99,170,Fiona
2024-07-23,Asia Pacific,Tablet,10032.59,22,Ethan
2024-07-24,Asia Pacific,Laptop,59681.26,59,Fiona
